"NAVN","REGISTERENHETID","LAT","LON"
"BJØRN BYGG AS",3306628,69.668442946756,18.93650966422
"BJØRN BYGG AS",3306629,69.6689012248202,18.9377056234426
"BJØRN BYGG AS",3306630,69.6690230092933,18.9378832423925
"BJØRN BYGG AS",3306824,69.6683794541979,18.9369370718726
"BJØRN BYGG AS",3312443,69.6691494202877,18.9346514233229
"BJØRN BYGG AS",3312444,69.6692319600013,18.9349767608501
"BJØRN BYGG AS",3312445,69.6693228684021,18.9353294892982
"BJØRN BYGG AS",3312446,69.6694126217594,18.9357336784012
"BJØRN BYGG AS",3312447,69.6691084305785,18.9380799485037
"BJØRN BYGG AS",3318304,69.6689982002271,18.936586865294
"BJØRN BYGG AS",3318305,69.6691145032874,18.9366084478458
"BJØRN BYGG AS",3318306,69.669231383638,18.9366043020774
"BJØRN BYGG AS",3318307,69.6693577876677,18.9365760877769
"BJØRN BYGG AS",3318308,69.6694662989137,18.9365445527358
"BJØRN BYGG AS",3338378,69.6695066910219,18.9379471953783
"BJØRN BYGG AS",3338379,69.669405393418,18.9380575703337
"BJØRN BYGG AS",3338380,69.6693309348632,18.9381729268918
"BJØRN BYGG AS",3344058,69.6699845974915,18.9382684459739
"BJØRN BYGG AS",3360556,69.6699003445498,18.9356174779784
"BJØRN BYGG AS",3360806,69.6697857727868,18.9355187121147
"BJØRN BYGG AS",3360807,69.6700685946387,18.9357262044112
"BJØRN BYGG AS",3360809,69.6697375724451,18.9372666390552
"BJØRN BYGG AS",3360810,69.6697323757659,18.9374982014891
"BJØRN BYGG AS",4098130,69.6324426219597,18.9589597294845
"BJØRN BYGG AS",4098131,69.6322827514528,18.9588783690656
"BJØRN BYGG AS",4098132,69.6324175246737,18.9588776803008
"BJØRN BYGG AS",4098133,69.6322893759369,18.9589827682921
"BJØRN BYGG AS",4098134,69.6324103197241,18.9587989638573
"BJØRN BYGG AS",4098135,69.6322792688778,18.9590324683854
"BJØRN BYGG AS",4098136,69.632196191611,18.9587332905679
"BJØRN BYGG AS",4098137,69.6320654810649,18.9585541995059
"BJØRN BYGG AS",4098138,69.6320161070449,18.9587513321197
"BJØRN BYGG AS",4098139,69.6319061907059,18.9584471608612
"BJØRN BYGG AS",4098140,69.6321944504051,18.9588103399347
"BJØRN BYGG AS",4098141,69.632063739939,18.9586312484164
"BJØRN BYGG AS",4098142,69.6320190089896,18.9586229175675
"BJØRN BYGG AS",4098143,69.6318955034376,18.9585225430915
"BJØRN BYGG AS",4098144,69.6321831825578,18.9589114061002
"BJØRN BYGG AS",4098145,69.632051891799,18.9587579970107
"BJØRN BYGG AS",4098146,69.6320386424928,18.9585492010888
"BJØRN BYGG AS",4098147,69.6318770306896,18.9585448936148
"BJØRN BYGG AS",4098148,69.6320654810649,18.9585541995059
"BJØRN BYGG AS",4098149,69.6332222349063,18.9602398179645
"BJØRN BYGG AS",4098150,69.6332037619418,18.9602621683555
"BJØRN BYGG AS",4098151,69.6331841277129,18.9603358872445
"BJØRN BYGG AS",4098152,69.6333439974861,18.9604172622186
"BJØRN BYGG AS",4098153,69.633324943847,18.9604652970135
"BJØRN BYGG AS",4098154,69.6333053095322,18.9605390161299
"BJØRN BYGG AS",4098155,69.6333393521892,18.9606227378273
"BJØRN BYGG AS",4098156,69.6333673520384,18.9605763702486
"BJØRN BYGG AS",4098157,69.6333696746902,18.9604736323153
"BJØRN BYGG AS",4098158,69.6334688991201,18.9608532216587
"BJØRN BYGG AS",4098159,69.6334521682054,18.9607985180482
"BJØRN BYGG AS",4098160,69.63347180263,18.9607247986688
"BJØRN BYGG AS",4098161,69.6330436546609,18.9597938666548
"BJØRN BYGG AS",4098162,69.6330436546609,18.9597938666548
"BJØRN BYGG AS",4098163,69.6330436546609,18.9597938666548
"BJØRN BYGG AS",4098164,69.6331356762351,18.9600947274524
"BJØRN BYGG AS",4098165,69.6331356762351,18.9600947274524
"BJØRN BYGG AS",4098166,69.6331356762351,18.9600947274524
"BJØRN BYGG AS",4098167,69.63347180263,18.9607247986688
"BJØRN BYGG AS",4098168,69.6339887022626,18.9605116076149
"BJØRN BYGG AS",4098169,69.6339540789091,18.9604535687048
"BJØRN BYGG AS",4098170,69.6339272404045,18.9604485673883
"BJØRN BYGG AS",4098171,69.6338749607637,18.9607741381438
"BJØRN BYGG AS",4098172,69.633891691682,18.9608288428309
"BJØRN BYGG AS",4098173,69.6339078418636,18.9609092327269
"BJØRN BYGG AS",4098174,69.6338567229017,18.9611834319319
"BJØRN BYGG AS",4098175,69.6338411535932,18.9610773569895
"BJØRN BYGG AS",4098176,69.6338339496505,18.9609986345465
